user_id,days_since_application,number_of_shows,baseline_matches,relax_bedrooms_minus_matches,delta_bedrooms,suggested_bedrooms,bedrooms_message,relax_budget_plus_matches,delta_budget,suggested_budget,budget_message
0025d524-935f-6e94-0e53-ee262d848ce6,39,1,61,62,1,0,"Hi! We noticed your application has had limited opportunities. If you can consider places with 0 bedroom(s), your potential matches could increase from 61 to ~62. This small adjustment might improve your chances of getting invited to a showing.",61,0,3200.0,
0052d54b-39dc-bc06-adb5-38eb13efeac0,35,0,60,60,0,0,,60,0,,
00c74781-0965-898f-4d9b-81d17f64ee9e,36,0,73,73,0,0,,73,0,,
00fcfe9b-c638-a209-7f53-a39bba1b4453,37,0,46,46,0,0,,46,0,3200.0,
0162c285-27a9-a69c-d7c1-39ba228be89c,34,0,10,10,0,0,,10,0,1400.0,
01716881-aa94-41df-6007-e903377f7c91,36,0,71,71,0,0,,71,0,,
01960127-2a25-6c16-d5ac-23d20a0881b2,35,0,49,49,0,0,,49,0,,
02543539-fea9-19fd-d10d-3bfe6d0b1279,42,0,60,60,0,0,,60,0,,
026b0e62-46cd-0bd9-00f1-9ecf400f1902,41,1,46,46,0,0,,46,0,,
02d2cc3a-23b3-0361-776c-0480c369f2d6,33,0,7,24,17,2,"Hi! We noticed your application has had limited opportunities. If you can consider places with 2 bedroom(s), your potential matches could increase from 7 to ~24. This small adjustment might improve your chances of getting invited to a showing.",7,0,2600.0,
031c6fe9-744d-3c94-196e-48997db0d8f2,37,0,0,4,4,1,"Hi! We noticed your application has had limited opportunities. If you can consider places with 1 bedroom(s), your potential matches could increase from 0 to ~4. This small adjustment might improve your chances of getting invited to a showing.",0,0,1400.0,
0422535c-58ad-ac69-c236-1dec59b11dd1,38,0,36,36,0,0,,42,6,2600.0,"Hi! We noticed your application has had limited opportunities. If you can extend your budget to about $2600 per month, your potential matches could increase from 36 to ~42. This may help you receive more viewing invitations."
04c554a1-8770-b58b-df8e-d9c1c2b056a9,46,0,61,62,1,0,"Hi! We noticed your application has had limited opportunities. If you can consider places with 0 bedroom(s), your potential matches could increase from 61 to ~62. This small adjustment might improve your chances of getting invited to a showing.",61,0,,
05133baa-8b08-4104-16f6-8a48535a9f51,44,0,61,61,0,0,,61,0,,
05553f9b-6d2c-f800-61e7-cc2bc834aa94,41,0,5,5,0,0,,5,0,1000.0,
061a4fdd-c287-ea50-282b-3fb79fbfd1f3,30,1,55,55,0,0,,55,0,3200.0,
080c466d-909f-15d1-6069-f5a2c0633853,36,0,7,7,0,0,,7,0,1400.0,
08aa3a72-4325-b3f0-2506-50e514345189,39,0,58,58,0,0,,58,0,,
097a26be-7d8d-ed04-2cb7-3e7e3f2ba0f4,39,0,47,47,0,0,,47,0,2700.0,
0aa83f88-5fb8-2c57-1b68-3bb50042f9f2,39,0,16,64,48,1,"Hi! We noticed your application has had limited opportunities. If you can consider places with 1 bedroom(s), your potential matches could increase from 16 to ~64. This small adjustment might improve your chances of getting invited to a showing.",16,0,,
0c91e7db-1f55-95d2-2c41-8b7e3ff1e026,37,0,37,37,0,0,,45,8,2200.0,"Hi! We noticed your application has had limited opportunities. If you can extend your budget to about $2200 per month, your potential matches could increase from 37 to ~45. This may help you receive more viewing invitations."
0de8f5a1-0417-ebc8-08f8-e28c8413d34b,40,0,59,59,0,0,,59,0,2700.0,
0ebe37ac-c5ac-1c90-9601-d12f03a526f2,41,0,8,43,35,1,"Hi! We noticed your application has had limited opportunities. If you can consider places with 1 bedroom(s), your potential matches could increase from 8 to ~43. This small adjustment might improve your chances of getting invited to a showing.",8,0,2700.0,
0fe2ba33-67a9-52b2-023a-fb3f04c2467f,41,0,46,46,0,0,,59,13,2200.0,"Hi! We noticed your application has had limited opportunities. If you can extend your budget to about $2200 per month, your potential matches could increase from 46 to ~59. This may help you receive more viewing invitations."
10378c49-cb85-67b9-453c-fa65568b2fc1,36,1,15,15,0,0,,15,0,1400.0,
10897f69-d8ec-5d8d-51b7-e3db8c25e40e,42,0,44,44,0,0,,44,0,2700.0,
112bdea1-e113-4582-57b5-ede3c9fbfa22,42,0,54,54,0,0,,54,0,2700.0,
11860e20-683e-fda9-5f1b-964daf2c43c5,33,0,2,5,3,1,"Hi! We noticed your application has had limited opportunities. If you can consider places with 1 bedroom(s), your potential matches could increase from 2 to ~5. This small adjustment might improve your chances of getting invited to a showing.",2,0,1000.0,
119b7ca1-faa8-bf3b-cb48-39b8fc8678c2,32,0,12,12,0,0,,12,0,1400.0,
13a820e9-ec61-16a7-efbe-9ab687594fd1,46,0,29,29,0,0,,38,9,1800.0,"Hi! We noticed your application has had limited opportunities. If you can extend your budget to about $1800 per month, your potential matches could increase from 29 to ~38. This may help you receive more viewing invitations."
145127b7-e0f1-534f-85ae-cb4f1dd260c8,31,1,51,51,0,0,,51,0,2700.0,
164ee6d7-470c-f824-88b2-092d47c8124d,34,0,8,8,0,0,,8,0,1400.0,
16d86a17-99da-815b-dd68-a5d9c229d626,41,0,4,7,3,2,"Hi! We noticed your application has had limited opportunities. If you can consider places with 2 bedroom(s), your potential matches could increase from 4 to ~7. This small adjustment might improve your chances of getting invited to a showing.",4,0,2200.0,
199c2b60-8897-f863-01b1-57bfa9824fcf,37,0,24,58,34,1,"Hi! We noticed your application has had limited opportunities. If you can consider places with 1 bedroom(s), your potential matches could increase from 24 to ~58. This small adjustment might improve your chances of getting invited to a showing.",24,0,,
199cc1ff-e471-eea1-ab78-807dcb9ebcab,42,0,50,50,0,0,,50,0,,
19e9de8b-f46d-15cb-ae4a-7dc5ae7f0815,46,0,55,55,0,0,,55,0,2700.0,
19f720b8-283f-6ef2-c741-9fd4b7e43aa9,39,0,20,53,33,1,"Hi! We noticed your application has had limited opportunities. If you can consider places with 1 bedroom(s), your potential matches could increase from 20 to ~53. This small adjustment might improve your chances of getting invited to a showing.",20,0,2700.0,
1ab700a0-5c68-6d77-4b8e-b14f14927173,33,0,1,7,6,4,"Hi! We noticed your application has had limited opportunities. If you can consider places with 4 bedroom(s), your potential matches could increase from 1 to ~7. This small adjustment might improve your chances of getting invited to a showing.",1,0,,
1afe4ec9-c891-53f2-42cf-ac622c2bfd7f,41,0,61,61,0,0,,61,0,3200.0,
