timestamp,input_tokens,output_tokens,total_tokens,user_input
2025-08-04T17:19:03.424157,22,5,27,hey
2025-08-04T17:19:14.524526,25,5,30,Leave me alone!
2025-08-04T20:04:18.371082,22,5,27,hey
2025-08-05T11:19:46.810037,22,5,27,hey
2025-08-05T11:21:53.413992,185,53,238,"I'm looking for a place in Brooklyn or Queens, preferably under $2,000. "
2025-08-05T11:23:59.667035,22,5,27,hey
2025-08-05T11:31:29.780225,22,5,27,hey
2025-08-05T11:36:27.473971,22,5,27,HEY
2025-08-05T11:40:16.293974,186,56,242,"looking for 2 bedroom house at newyork cost 2000 dolars, quiet clean"
2025-08-05T11:41:16.487228,228,67,295,"I'm looking for a place in Brooklyn or Queens, preferably under $2,000.  I need at least 2 bedrooms since I’ll be living with a roommate. I’d love somewhere quiet and suitable for studying.  No smoking, and pet-friendly if possible. Hoping to move in September."
2025-08-05T11:45:59.906450,228,67,295,"I'm looking for a place in Brooklyn or Queens, preferably under $2,000.  I need at least 2 bedrooms since I’ll be living with a roommate. I’d love somewhere quiet and suitable for studying.  No smoking, and pet-friendly if possible. Hoping to move in September."
2025-08-05T11:46:37.363581,228,67,295,"I'm looking for a place in Brooklyn or Queens, preferably under $2,000.  I need at least 2 bedrooms since I’ll be living with a roommate. I’d love somewhere quiet and suitable for studying.  No smoking, and pet-friendly if possible. Hoping to move in September."
2025-08-05T11:47:47.539337,168,48,216,hey
2025-08-05T11:49:03.152211,185,54,239,"I'm looking for a place in Brooklyn or Queens, preferably under $2,000. "
2025-08-05T11:54:44.542475,232,55,287,"I'm looking for a place in Brooklyn or Queens, preferably under $2,000. "
2025-08-05T11:58:04.006967,207,79,286,"Spacious 2-bedroom apartment in Astoria, Queens. Rent is $2,300/month.  Available starting October. It's in a quiet neighborhood, ideal for students or remote workers.  No pets allowed, no smoking please."
2025-08-05T12:15:45.415527,207,79,286,"Spacious 2-bedroom apartment in Astoria, Queens. Rent is $2,300/month.  Available starting October. It's in a quiet neighborhood, ideal for students or remote workers.  No pets allowed, no smoking please."
2025-08-05T12:16:30.270683,232,55,287,"I'm looking for a place in Brooklyn or Queens, preferably under $2,000. "
2025-08-05T12:23:03.441229,234,58,292,"Spacious 2-bedroom apartment in Astoria, Queens. Rent is $2,300/month."
2025-08-05T12:26:11.442785,250,76,326,"Spacious 2-bedroom apartment in Astoria, Queens. Rent is $2,300/month.  Available starting October. It's in a quiet neighborhood, ideal for students or remote workers.  No pets allowed, no smoking please."
2025-08-05T12:28:10.588097,252,74,326,"Spacious 2-bedroom apartment in Astoria, Queens. Rent is $2,300/month.  Available starting October. It's in a quiet neighborhood, ideal for students or remote workers.  No pets allowed, no smoking please."
2025-08-05T14:14:25.886980,275,68,343,"I'm looking for a place in Brooklyn or Queens, preferably under $2,000.  I need at least 2 bedrooms since I’ll be living with a roommate. I’d love somewhere quiet and suitable for studying.  No smoking, and pet-friendly if possible. Hoping to move in September."
2025-08-06T14:15:53.466666,215,48,263,hey
2025-08-06T21:24:31.912819,277,82,359,"
    I'm renting out my 2-bedroom apartment in Brooklyn. It's great for quiet working-from-home.
    No pets, no smoking. $2600/month, available in October.
    Here's a picture: https://example.com/image1.jpg
    "
2025-08-06T21:24:32.923952,266,77,343,"
    Studio in downtown LA, newly renovated. Close to transit, great for students. Asking $1800/month.
    Ready to move in August. https://example.com/image2.jpg
    "
2025-08-06T21:24:34.533057,271,84,355,"
    Spacious 1BR in Queens with a large balcony and sunlight. Ideal for couples or remote workers.
    No pets allowed. $2100/month. Available from September. https://example.com/image3.jpg
    "
2025-08-06T22:23:47.319863,230,54,284,looking for 3 bd house at NYC FOR 3K in next OCT 
2025-08-06T22:41:55.348685,277,78,355,"
    I'm renting out my 2-bedroom apartment in Brooklyn. It's great for quiet working-from-home.
    No pets, no smoking. $2600/month, available in October.
    Here's a picture: https://example.com/image1.jpg
    "
2025-08-06T22:41:57.102608,266,78,344,"
    Studio in downtown LA, newly renovated. Close to transit, great for students. Asking $1800/month.
    Ready to move in August. https://example.com/image2.jpg
    "
2025-08-06T22:41:58.640325,271,87,358,"
    Spacious 1BR in Queens with a large balcony and sunlight. Ideal for couples or remote workers.
    No pets allowed. $2100/month. Available from September. https://example.com/image3.jpg
    "
2025-08-06T23:12:38.485742,277,78,355,"
    I'm renting out my 2-bedroom apartment in Brooklyn. It's great for quiet working-from-home.
    No pets, no smoking. $2600/month, available in October.
    Here's a picture: https://example.com/image1.jpg
    "
2025-08-06T23:12:39.601488,266,80,346,"
    Studio in downtown LA, newly renovated. Close to transit, great for students. Asking $1800/month.
    Ready to move in August. https://example.com/image2.jpg
    "
2025-08-06T23:12:41.240007,271,85,356,"
    Spacious 1BR in Queens with a large balcony and sunlight. Ideal for couples or remote workers.
    No pets allowed. $2100/month. Available from September. https://example.com/image3.jpg
    "
2025-08-07T18:37:32.215309,238,64,302,"looking for 3 bd at nyc for 3k this oct , nice windows and view, quiet , pets "
2025-08-07T18:40:21.424815,277,78,355,"
    I'm renting out my 2-bedroom apartment in Brooklyn. It's great for quiet working-from-home.
    No pets, no smoking. $2300/month, available in October.
    Here's a picture: https://example.com/image1.jpg
    "
2025-08-07T18:40:22.605469,266,77,343,"
    Studio in downtown LA, newly renovated. Close to transit, great for students. Asking $1800/month.
    Ready to move in August. https://example.com/image2.jpg
    "
2025-08-07T18:40:23.965449,271,88,359,"
    Spacious 1BR in Queens with a large balcony and sunlight. Ideal for couples or remote workers.
    No pets allowed. $2100/month. Available from September. https://example.com/image3.jpg
    "
2025-08-07T18:40:58.300999,277,78,355,"
    I'm renting out my 2-bedroom apartment in Brooklyn. It's great for quiet working-from-home.
    No pets, no smoking. $2300/month, available in October.
    Here's a picture: https://example.com/image55.jpg
    "
2025-08-07T18:40:59.701349,266,81,347,"
    Studio in downtown LA, newly renovated. Close to transit, great for students. Asking $1800/month.
    Ready to move in August. https://example.com/image2.jpg
    "
2025-08-07T18:41:01.916865,271,88,359,"
    Spacious 1BR in Queens with a large balcony and sunlight. Ideal for couples or remote workers.
    No pets allowed. $2100/month. Available from September. https://example.com/image3.jpg
    "
2025-08-08T14:44:13.208853,277,78,355,"
    I'm renting out my 2-bedroom apartment in Brooklyn. It's great for quiet working-from-home.
    No pets, no smoking. $2400/month, available in October.
    Here's a picture: https://example.com/image55.jpg
    "
2025-08-08T14:44:14.202136,266,77,343,"
    Studio in downtown LA, newly renovated. Close to transit, great for students. Asking $1800/month.
    Ready to move in August. https://example.com/image2.jpg
    "
2025-08-08T14:44:15.516805,271,83,354,"
    Spacious 1BR in Queens with a large balcony and sunlight. Ideal for couples or remote workers.
    No pets allowed. $2100/month. Available from September. https://example.com/image3.jpg
    "
2025-08-08T18:24:05.983969,215,52,267,dd
2025-08-08T18:24:39.133937,277,82,359,"
    I'm renting out my 2-bedroom apartment in Brooklyn. It's great for quiet working-from-home.
    No pets, no smoking. $2400/month, available in October.
    Here's a picture: https://example.com/image55.jpg
    "
2025-08-08T18:24:40.125098,266,81,347,"
    Studio in downtown LA, newly renovated. Close to transit, great for students. Asking $1800/month.
    Ready to move in August. https://example.com/image2.jpg
    "
2025-08-08T18:24:41.557912,271,83,354,"
    Spacious 1BR in Queens with a large balcony and sunlight. Ideal for couples or remote workers.
    No pets allowed. $2100/month. Available from September. https://example.com/image3.jpg
    "
2025-08-08T18:27:14.308646,277,78,355,"
    I'm renting out my 2-bedroom apartment in Brooklyn. It's great for quiet working-from-home.
    No pets, no smoking. $3450/month, available in October.
    Here's a picture: https://example.com/image55.jpg
    "
2025-08-08T19:05:03.235483,440,82,522,"
    Spacious 3-bedroom condo in Queens, near the subway. 
    Perfect for families, pet-friendly, and close to schools. 
    $2800 per month, available starting September 15th. 
    Picture: https://example.com/image99.jpg
    "
2025-08-09T10:08:43.466745,541,77,618,"looking for Spacious 3-bedroom condo in Queens, near the subway.  Perfect for families, pet-friendly, and close to schools.  $2800 per month, available starting September 15th. "
2025-08-09T12:31:48.176171,435,86,521,"Charming 1-bedroom studio located in the heart of Manhattan, New York City. This property features a kitchenette with a microwave and small fridge, perfect for travelers seeking convenience. Enjoy easy access to nearby restaurants and attractions. Monthly rental price available upon request."
2025-08-09T12:31:49.363473,449,85,534,"Comfortable 1-bedroom apartment in the trendy Lower East Side of New York City. Enjoy easy access to multiple subway lines (B, D, F, M, J, and Z) and a vibrant neighborhood filled with diverse restaurants, nightlife, and cultural attractions. Available for $1,200 per month starting in December."
2025-08-09T12:31:50.644440,461,74,535,"Charming 2-bedroom apartment in the Mission District, San Francisco, featuring a king, queen, and twin bed. This 750ft² space boasts modern amenities, including a full kitchen and a beautifully tiled bathroom, all within walking distance of diverse dining options. The apartment is meticulously cleaned and maintained, ensuring a safe and comfortable environment. Available for $2,500 per month."
