user_id,days_since_application,number_of_shows,baseline_matches,relax_bedrooms_minus_matches,delta_bedrooms,suggested_bedrooms,bedrooms_message,relax_budget_plus_matches,delta_budget,suggested_budget,budget_message
0052d54b-39dc-bc06-adb5-38eb13efeac0,39,0,60,60,0,0,,60,0,,
00c74781-0965-898f-4d9b-81d17f64ee9e,40,1,73,73,0,0,,73,0,,
00fcfe9b-c638-a209-7f53-a39bba1b4453,41,0,46,46,0,0,,46,0,3200.0,
010eae17-c2f8-ed3b-c23a-493572bffa79,30,0,71,72,1,0,"Hi! We noticed your application has had limited opportunities. If you can consider places with 0 bedroom(s), your potential matches could increase from 71 to ~72. This small adjustment might improve your chances of getting invited to a showing.",71,0,,
0162c285-27a9-a69c-d7c1-39ba228be89c,38,0,10,10,0,0,,10,0,1400.0,
01716881-aa94-41df-6007-e903377f7c91,40,0,71,71,0,0,,71,0,,
01960127-2a25-6c16-d5ac-23d20a0881b2,39,0,49,49,0,0,,49,0,,
02543539-fea9-19fd-d10d-3bfe6d0b1279,46,0,61,61,0,0,,61,0,,
02d2cc3a-23b3-0361-776c-0480c369f2d6,37,0,7,24,17,2,"Hi! We noticed your application has had limited opportunities. If you can consider places with 2 bedroom(s), your potential matches could increase from 7 to ~24. This small adjustment might improve your chances of getting invited to a showing.",7,0,2600.0,
031c6fe9-744d-3c94-196e-48997db0d8f2,41,1,0,4,4,1,"Hi! We noticed your application has had limited opportunities. If you can consider places with 1 bedroom(s), your potential matches could increase from 0 to ~4. This small adjustment might improve your chances of getting invited to a showing.",0,0,1400.0,
044f3c8e-bbff-651e-03f9-87eadfd84591,32,1,47,47,0,0,,49,2,2600.0,"Hi! We noticed your application has had limited opportunities. If you can extend your budget to about $2600 per month, your potential matches could increase from 47 to ~49. This may help you receive more viewing invitations."
04c554a1-8770-b58b-df8e-d9c1c2b056a9,50,0,61,62,1,0,"Hi! We noticed your application has had limited opportunities. If you can consider places with 0 bedroom(s), your potential matches could increase from 61 to ~62. This small adjustment might improve your chances of getting invited to a showing.",61,0,,
05133baa-8b08-4104-16f6-8a48535a9f51,48,0,61,61,0,0,,61,0,,
05553f9b-6d2c-f800-61e7-cc2bc834aa94,45,0,5,5,0,0,,5,0,1000.0,
080c466d-909f-15d1-6069-f5a2c0633853,40,0,7,7,0,0,,7,0,1400.0,
09e4ac40-c3da-504d-65b9-a4fcc474e4d7,31,0,14,61,47,1,"Hi! We noticed your application has had limited opportunities. If you can consider places with 1 bedroom(s), your potential matches could increase from 14 to ~61. This small adjustment might improve your chances of getting invited to a showing.",14,0,,
0aa83f88-5fb8-2c57-1b68-3bb50042f9f2,43,1,16,64,48,1,"Hi! We noticed your application has had limited opportunities. If you can consider places with 1 bedroom(s), your potential matches could increase from 16 to ~64. This small adjustment might improve your chances of getting invited to a showing.",16,0,,
