owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
0dd128e8-57ae-d757-852f-4e7f11eec761,,,,,,,,qdrant_unexpected_response,"Unexpected Response: 400 (Bad Request)
Raw response content:
b'{""status"":{""error"":""Bad request: Index required but not found for \\""owner_id\\"" of one of the following types: [uuid, keyword]. Help: Create an index for this key or use a different filter.""},""time"" ...'"
4d090512-d8f5-2718-7147-2ff58d0a0039,,,,,,,,qdrant_unexpected_response,"Unexpected Response: 400 (Bad Request)
Raw response content:
b'{""status"":{""error"":""Bad request: Index required but not found for \\""owner_id\\"" of one of the following types: [uuid, keyword]. Help: Create an index for this key or use a different filter.""},""time"" ...'"
76356a80-5669-9aed-49f0-c0038c4c2301,,,,,,,,qdrant_unexpected_response,"Unexpected Response: 400 (Bad Request)
Raw response content:
b'{""status"":{""error"":""Bad request: Index required but not found for \\""owner_id\\"" of one of the following types: [uuid, keyword]. Help: Create an index for this key or use a different filter.""},""time"" ...'"
875f8fb1-faab-1f77-f5f0-a17bdf13c9ce,,,,,,,,qdrant_unexpected_response,"Unexpected Response: 400 (Bad Request)
Raw response content:
b'{""status"":{""error"":""Bad request: Index required but not found for \\""owner_id\\"" of one of the following types: [uuid, keyword]. Help: Create an index for this key or use a different filter.""},""time"" ...'"
99777493-5632-18dd-d223-29f5a61a7de9,,,,,,,,qdrant_unexpected_response,"Unexpected Response: 400 (Bad Request)
Raw response content:
b'{""status"":{""error"":""Bad request: Index required but not found for \\""owner_id\\"" of one of the following types: [uuid, keyword]. Help: Create an index for this key or use a different filter.""},""time"" ...'"
a72993d7-c1ad-3821-3880-682f205e16f5,,,,,,,,qdrant_unexpected_response,"Unexpected Response: 400 (Bad Request)
Raw response content:
b'{""status"":{""error"":""Bad request: Index required but not found for \\""owner_id\\"" of one of the following types: [uuid, keyword]. Help: Create an index for this key or use a different filter.""},""time"" ...'"
b22bf49f-a7ad-09c5-da43-0059d3d08ad3,,,,,,,,qdrant_unexpected_response,"Unexpected Response: 400 (Bad Request)
Raw response content:
b'{""status"":{""error"":""Bad request: Index required but not found for \\""owner_id\\"" of one of the following types: [uuid, keyword]. Help: Create an index for this key or use a different filter.""},""time"" ...'"
b496f708-13e7-731b-a23f-c7d3d9d6ea13,,,,,,,,qdrant_unexpected_response,"Unexpected Response: 400 (Bad Request)
Raw response content:
b'{""status"":{""error"":""Bad request: Index required but not found for \\""owner_id\\"" of one of the following types: [uuid, keyword]. Help: Create an index for this key or use a different filter.""},""time"" ...'"
cd21d9ac-18ed-9f25-0ad4-5740cc22c06a,,,,,,,,qdrant_unexpected_response,"Unexpected Response: 400 (Bad Request)
Raw response content:
b'{""status"":{""error"":""Bad request: Index required but not found for \\""owner_id\\"" of one of the following types: [uuid, keyword]. Help: Create an index for this key or use a different filter.""},""time"" ...'"
f8d86a72-c788-aeb2-928b-d5db092ce6e2,,,,,,,,qdrant_unexpected_response,"Unexpected Response: 400 (Bad Request)
Raw response content:
b'{""status"":{""error"":""Bad request: Index required but not found for \\""owner_id\\"" of one of the following types: [uuid, keyword]. Help: Create an index for this key or use a different filter.""},""time"" ...'"
