owner_id,days_since_application,number_of_shows,suggested_price,delta_price,message
02094f83-523e-3064-9d70-e602aa3cd385,42,0,2300.0,4,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2300, your potential matches could increase from 34 to ~38. This may help attract more qualified applicants and accelerate scheduling."
0254aff7-280e-028e-ed0e-1799a1c01621,38,1,1400.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1400, your potential matches could increase from 28 to ~29. This may help attract more qualified applicants and accelerate scheduling."
03dd3b70-eec8-0544-d8ea-13ec62bfbf5d,32,0,1600.0,2,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 38 to ~40. This may help attract more qualified applicants and accelerate scheduling."
0441c7e3-1b0d-8c58-4ac4-9a26ac0fdb8f,38,0,1600.0,3,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 34 to ~37. This may help attract more qualified applicants and accelerate scheduling."
08c1f1fd-b79d-0198-09b6-fcfefed6f71c,42,0,600.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $600, your potential matches could increase from 39 to ~40. This may help attract more qualified applicants and accelerate scheduling."
08e4238b-7eb7-a02d-4635-06c3385cd62d,30,0,2300.0,4,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2300, your potential matches could increase from 39 to ~43. This may help attract more qualified applicants and accelerate scheduling."
09533d7f-92d4-a0aa-bad7-7fe7171e9849,44,1,2800.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2800, your potential matches could increase from 29 to ~30. This may help attract more qualified applicants and accelerate scheduling."
099901dd-41fc-750e-d336-99fdcc8e6bfc,30,0,2300.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2300, your potential matches could increase from 36 to ~37. This may help attract more qualified applicants and accelerate scheduling."
09f4618b-3551-07ad-f568-f34dd07be5ae,44,0,2300.0,2,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2300, your potential matches could increase from 31 to ~33. This may help attract more qualified applicants and accelerate scheduling."
0a864098-f610-5e72-a152-bea6df1f0f5f,32,0,1600.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 42 to ~43. This may help attract more qualified applicants and accelerate scheduling."
0c480d4b-f11f-f1d0-55a7-97c14650c56f,46,0,1600.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 34 to ~35. This may help attract more qualified applicants and accelerate scheduling."
0c5d2803-431d-8623-38db-94261add7a9a,41,0,1600.0,5,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 37 to ~42. This may help attract more qualified applicants and accelerate scheduling."
0e37bffe-c95a-f805-08f6-ec59948c112f,39,0,1600.0,2,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 43 to ~45. This may help attract more qualified applicants and accelerate scheduling."
0eabfe9f-825c-9a35-8808-c1825bf180b3,43,0,1900.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 29 to ~30. This may help attract more qualified applicants and accelerate scheduling."
0eecff24-f85c-102f-9147-3140d009f2e6,46,0,1600.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 30 to ~31. This may help attract more qualified applicants and accelerate scheduling."
0f094665-5540-7971-bf75-b791cad7380e,41,0,1600.0,2,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 56 to ~58. This may help attract more qualified applicants and accelerate scheduling."
11597725-b16a-28d7-87d5-a4bf0cabef4c,38,0,1900.0,2,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 45 to ~47. This may help attract more qualified applicants and accelerate scheduling."
144201b1-c805-7599-ab70-fb0c10ddc58c,46,0,1900.0,2,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 29 to ~31. This may help attract more qualified applicants and accelerate scheduling."
155d10fa-fe6f-7539-962d-474e19949fae,31,0,1000.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1000, your potential matches could increase from 50 to ~51. This may help attract more qualified applicants and accelerate scheduling."
15d47da1-1792-a8e9-7f11-9895974dacee,39,0,1900.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 37 to ~38. This may help attract more qualified applicants and accelerate scheduling."
15d6d3c3-a012-6986-f958-4c4435da217b,35,0,1600.0,5,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 49 to ~54. This may help attract more qualified applicants and accelerate scheduling."
1679a4e3-d467-5938-cd42-52288092ccde,34,0,1600.0,3,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 57 to ~60. This may help attract more qualified applicants and accelerate scheduling."
177895b9-ec84-7616-b75c-bdd57d98049b,36,0,1900.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 22 to ~23. This may help attract more qualified applicants and accelerate scheduling."
19499b24-0b8b-e1d7-4405-7c5dfeb0fef7,44,0,3000.0,2,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $3000, your potential matches could increase from 16 to ~18. This may help attract more qualified applicants and accelerate scheduling."
1a1c62de-a126-1fe7-3aad-5ef79dfc2493,44,1,1600.0,7,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 41 to ~48. This may help attract more qualified applicants and accelerate scheduling."
1a627524-87d3-68e9-b039-e3be337acccf,36,1,2300.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2300, your potential matches could increase from 34 to ~35. This may help attract more qualified applicants and accelerate scheduling."
1de650ed-311a-9dd3-6a15-54c6d835d68a,33,0,1900.0,4,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 39 to ~43. This may help attract more qualified applicants and accelerate scheduling."
22639924-2e75-9667-e304-dd1a3b01f82d,43,0,1600.0,2,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1600, your potential matches could increase from 33 to ~35. This may help attract more qualified applicants and accelerate scheduling."
23fa402e-bb55-e187-cc80-7be9311f6f89,45,0,1900.0,4,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 32 to ~36. This may help attract more qualified applicants and accelerate scheduling."
27549003-463f-71e2-a336-2da9e7ec6205,31,0,1900.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 41 to ~42. This may help attract more qualified applicants and accelerate scheduling."
2774b6a6-9d79-7fac-e78f-efd00bb694f5,41,0,1900.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 47 to ~48. This may help attract more qualified applicants and accelerate scheduling."
2818e50d-ea4f-6467-f43e-17d95aa88075,46,0,1400.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1400, your potential matches could increase from 42 to ~43. This may help attract more qualified applicants and accelerate scheduling."
290713fa-404e-b1d8-7b07-eb8059f815e3,40,0,1900.0,1,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 39 to ~40. This may help attract more qualified applicants and accelerate scheduling."
2972002d-2ad7-d6d8-733f-fcc4e40c64a4,39,0,2300.0,2,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2300, your potential matches could increase from 28 to ~30. This may help attract more qualified applicants and accelerate scheduling."
29761a61-cc51-97af-c033-54eb3bc12e21,36,0,1900.0,2,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $1900, your potential matches could increase from 32 to ~34. This may help attract more qualified applicants and accelerate scheduling."
297b261f-caca-3a4d-1b0c-d74b9e49e05c,35,1,2300.0,2,"Hi! Your listing has had limited showings recently. If you consider reducing the monthly price to around $2300, your potential matches could increase from 34 to ~36. This may help attract more qualified applicants and accelerate scheduling."
