timestamp,input_tokens,output_tokens,total_tokens,text_input
2025-08-06T23:14:47.683924,12,0,12,"great for quiet working-from-home, no pets, no smoking"
2025-08-06T23:14:47.683924,11,0,11,"newly renovated, close to transit, great for students"
2025-08-06T23:14:47.683924,20,0,20,"spacious, large balcony, lots of sunlight, ideal for couples or remote workers, no pets allowed"
2025-08-07T18:40:26.808168,12,0,12,"great for quiet working-from-home, no pets, no smoking"
2025-08-07T18:40:26.810175,11,0,11,"newly renovated, close to transit, great for students"
2025-08-07T18:40:26.813920,19,0,19,"spacious, large balcony, lots of sunlight, ideal for couples or remote workers, no pets"
2025-08-07T18:41:02.833246,12,0,12,"great for quiet working-from-home, no pets, no smoking"
2025-08-07T18:41:02.833246,11,0,11,"newly renovated, close to transit, great for students"
2025-08-07T18:41:02.834521,19,0,19,"spacious with large balcony, lots of sunlight, ideal for couples or remote workers, no pets"
2025-08-08T14:47:32.515435,12,0,12,"great for quiet working-from-home, no pets, no smoking"
2025-08-08T14:47:32.516987,11,0,11,"newly renovated, close to transit, great for students"
2025-08-08T14:47:32.516987,18,0,18,"spacious, large balcony, sunlight, ideal for couples or remote workers, no pets allowed"
2025-08-08T18:25:08.767836,12,0,12,"great for quiet working-from-home, no pets, no smoking"
2025-08-08T18:25:08.776223,11,0,11,"newly renovated, close to transit, great for students"
2025-08-08T18:25:08.776223,18,0,18,"spacious, large balcony, sunny, ideal for couples or remote workers, no pets allowed"
2025-08-08T18:27:16.576972,12,0,12,"great for quiet working-from-home, no pets, no smoking"
2025-08-08T19:05:32.125386,17,0,17,"spacious, near the subway, perfect for families, pet-friendly, close to schools"
2025-08-09T10:10:33.340574,17,0,17,"spacious, near the subway, perfect for families, pet-friendly, close to schools"
2025-08-09T12:53:32.715013,26,0,26,"located in the heart of the city, kitchenette with microwave and small fridge, great for travelers, easy access to restaurants and attractions"
2025-08-09T12:53:32.715013,21,0,21,"trendy neighborhood, easy access to subway lines, vibrant area with restaurants and nightlife, cultural attractions nearby"
2025-08-09T12:53:32.723106,16,0,16,"modern amenities, walking distance to dining options, meticulously cleaned, safe and comfortable environment"
2025-08-09T12:53:32.723106,29,0,29,"stunning views of Broadway, Central Park, and the Hudson River, full kitchen, spacious accommodations, vibrant neighborhood, local shops, iconic attractions nearby"
2025-08-09T12:53:32.723106,28,0,28,"charming neighborhood, light-filled unit, spacious living room with garden access, private patio with city views, ideal for up to 4 guests"
2025-08-09T12:53:32.723106,31,0,31,"heart of Greenwich Village, great southern exposure, kitchenette without a stove, close to Christopher Street Pier, ideal for local events like Pride Parade and Halloween Parade"
2025-08-09T12:53:32.723106,29,0,29,"spacious, full kitchen, bathroom, three large closets, conveniently located, close to public transportation, near Prospect Park, surrounded by bars and restaurants"
2025-08-09T12:53:32.725358,24,0,24,"spacious Victorian home, steps from the park, bright residence, ideal for families, street parking limited, public transportation recommended"
2025-08-09T12:53:32.726099,35,0,35,"newly renovated, secure elevator building, modern amenities, LGBTQ friendly, perfect for couples, solo travelers, or business professionals, convenient location, close to Midtown and Times Square"
2025-08-09T12:53:32.726468,32,0,32,"stunning townhome, four unique floors, exposed brick walls, wood beams, sauna in the basement, hot tub in spacious backyard, perfect for relaxation and entertaining"
