user_id,days_since_application,number_of_shows,suggested_bedrooms,delta_bedrooms,suggested_budget,delta_budget,message
010eae17-c2f8-ed3b-c23a-493572bffa79,30,0,0,1,,,"consider 0 bedroom(s), ~+1 matches"
02d2cc3a-23b3-0361-776c-0480c369f2d6,37,0,2,17,,,"consider 2 bedroom(s), ~+17 matches"
031c6fe9-744d-3c94-196e-48997db0d8f2,41,1,1,4,,,"consider 1 bedroom(s), ~+4 matches"
044f3c8e-bbff-651e-03f9-87eadfd84591,32,1,,,2600,2,"extend budget to $2600, ~+2 matches"
04c554a1-8770-b58b-df8e-d9c1c2b056a9,50,0,0,1,,,"consider 0 bedroom(s), ~+1 matches"
09e4ac40-c3da-504d-65b9-a4fcc474e4d7,31,0,1,47,,,"consider 1 bedroom(s), ~+47 matches"
0aa83f88-5fb8-2c57-1b68-3bb50042f9f2,43,1,1,48,,,"consider 1 bedroom(s), ~+48 matches"
0c91e7db-1f55-95d2-2c41-8b7e3ff1e026,41,0,,,2200,8,"extend budget to $2200, ~+8 matches"
0dc91b30-3156-f1b2-1fa2-2ea6e591932d,30,0,,,1800,6,"extend budget to $1800, ~+6 matches"
0ebe37ac-c5ac-1c90-9601-d12f03a526f2,45,0,1,34,,,"consider 1 bedroom(s), ~+34 matches"
0fe2ba33-67a9-52b2-023a-fb3f04c2467f,45,0,,,2200,13,"extend budget to $2200, ~+13 matches"
11860e20-683e-fda9-5f1b-964daf2c43c5,37,0,1,3,,,"consider 1 bedroom(s), ~+3 matches"
13a820e9-ec61-16a7-efbe-9ab687594fd1,50,0,,,1800,9,"extend budget to $1800, ~+9 matches"
145880cc-c40e-177b-4772-34c880708b69,32,1,1,38,,,"consider 1 bedroom(s), ~+38 matches"
16d86a17-99da-815b-dd68-a5d9c229d626,45,1,2,3,,,"consider 2 bedroom(s), ~+3 matches"
199c2b60-8897-f863-01b1-57bfa9824fcf,41,0,1,34,,,"consider 1 bedroom(s), ~+34 matches"
19f720b8-283f-6ef2-c741-9fd4b7e43aa9,43,0,1,32,,,"consider 1 bedroom(s), ~+32 matches"
1ab700a0-5c68-6d77-4b8e-b14f14927173,37,0,4,6,,,"consider 4 bedroom(s), ~+6 matches"
1b3dafdd-c068-5a4a-a23c-9734244b4af8,49,1,1,46,,,"consider 1 bedroom(s), ~+46 matches"
1b81a6b2-061f-6045-c82c-6e3750060160,30,0,1,50,,,"consider 1 bedroom(s), ~+50 matches"
1d68208f-0718-7a20-2564-928f16db2a59,37,0,3,8,,,"consider 3 bedroom(s), ~+8 matches"
1e40f8a0-a69f-ab66-f61f-85fe66d3f641,37,0,1,34,,,"consider 1 bedroom(s), ~+34 matches"
1f56da48-6ebc-00ca-d37a-0cc18834e60a,49,0,1,43,,,"consider 1 bedroom(s), ~+43 matches"
1fd3d90a-1b59-ba85-defd-a749cfb80e0e,50,0,2,11,,,"consider 2 bedroom(s), ~+11 matches"
20b94037-f11b-508d-5740-ea2f2ed21b3e,30,1,,,1800,8,"extend budget to $1800, ~+8 matches"
221550e9-bbd1-c264-4b32-de6530ff1c78,34,0,1,38,,,"consider 1 bedroom(s), ~+38 matches"
221cf2ac-3db2-5059-a61d-99ebeee0f0fd,50,0,,,2200,7,"extend budget to $2200, ~+7 matches"
224529ec-9392-3531-9732-be84c937227a,39,0,1,48,,,"consider 1 bedroom(s), ~+48 matches"
23b7d142-b8e4-7d86-d75b-7e05fc4303f3,34,0,,,1800,10,"extend budget to $1800, ~+10 matches"
23ccaed8-18b6-c297-bcd5-b8227964167c,43,0,3,4,,,"consider 3 bedroom(s), ~+4 matches"
24a56de9-8dbc-27be-d893-e04fdbc0bd16,30,0,,,2200,14,"extend budget to $2200, ~+14 matches"
24f20139-79f1-046a-3d3f-94516dc04fdf,32,0,1,47,,,"consider 1 bedroom(s), ~+47 matches"
251def9b-2c59-8c1c-85a5-87049bf185c3,50,0,1,36,,,"consider 1 bedroom(s), ~+36 matches"
25401228-ba13-727e-bfa8-f8aea375a034,31,0,1,42,,,"consider 1 bedroom(s), ~+42 matches"
2623bdd2-2f3e-cb6f-34c3-638000b86f57,50,0,,,2200,6,"extend budget to $2200, ~+6 matches"
271ddb91-801f-3dc3-6562-f7298f506072,44,0,1,3,,,"consider 1 bedroom(s), ~+3 matches"
29e236db-6553-6de9-cb0a-9de33d269f76,41,0,0,1,,,"consider 0 bedroom(s), ~+1 matches"
2a03fc5a-4ddd-56fe-d6fe-4451daaa43d3,35,0,1,5,,,"consider 1 bedroom(s), ~+5 matches"
2a53a5bb-f5da-d285-acbb-630ee8bb5529,30,1,1,32,,,"consider 1 bedroom(s), ~+32 matches"
2a806e38-909a-f7a6-0e22-ccee70fe2ad5,41,0,1,21,1800,5,"consider 1 bedroom(s), ~+21 matches & extend budget to $1800, ~+5 matches"
2b0bef78-a335-058d-15f7-e0c2d645fd01,42,0,2,6,,,"consider 2 bedroom(s), ~+6 matches"
2c41651a-e771-9b48-bb5e-f88614b2ac31,47,0,1,10,1800,3,"consider 1 bedroom(s), ~+10 matches & extend budget to $1800, ~+3 matches"
2c70c693-dc15-a73f-7894-527cb727a1d6,31,1,1,42,,,"consider 1 bedroom(s), ~+42 matches"
2ca34f6a-3a68-d047-1dd1-c60a2a4247d1,37,0,,,2200,11,"extend budget to $2200, ~+11 matches"
2ca4f8b5-cc9b-b810-1cd7-0344ac6bd8ff,41,0,,,1800,10,"extend budget to $1800, ~+10 matches"
2cc88e4a-c5fc-0482-6af8-1abe226290d3,32,1,1,44,3100,1,"consider 1 bedroom(s), ~+44 matches & extend budget to $3100, ~+1 matches"
2e155e05-7eb1-74f0-e8a6-9b83669d432b,30,0,1,49,,,"consider 1 bedroom(s), ~+49 matches"
2f2502d0-caaa-c37c-3352-16c1627fc925,50,1,1,51,,,"consider 1 bedroom(s), ~+51 matches"
325fad42-8a92-ffef-b0e1-ac14412935b2,43,0,1,51,,,"consider 1 bedroom(s), ~+51 matches"
327b4405-6978-fc78-15dc-f79d7c4c3149,30,0,,,2500,5,"extend budget to $2500, ~+5 matches"
33f84ed5-a114-4df9-6e43-27dcd1f809f2,47,0,1,33,,,"consider 1 bedroom(s), ~+33 matches"
36d933bd-1c82-afa6-be65-637046f8182e,43,1,1,30,,,"consider 1 bedroom(s), ~+30 matches"
36f8a29b-1a2e-b5da-799f-7bb10c49bc41,44,1,,,1800,10,"extend budget to $1800, ~+10 matches"
3865a85e-7c03-60bf-210c-054a77320084,32,1,1,35,,,"consider 1 bedroom(s), ~+35 matches"
387c969b-30e5-b74f-6c3d-bbb9aea6601e,33,0,2,7,,,"consider 2 bedroom(s), ~+7 matches"
38d356b0-4662-26d7-602c-6077218094f9,35,0,1,14,,,"consider 1 bedroom(s), ~+14 matches"
3c412d55-fa8c-5afe-49f2-9206ac9d3814,49,0,3,9,,,"consider 3 bedroom(s), ~+9 matches"
3d375300-7a84-d23f-01c2-7ea718130fc3,44,1,1,47,,,"consider 1 bedroom(s), ~+47 matches"
3e34c38b-3759-0e19-d748-cb599cf374d3,30,0,2,21,,,"consider 2 bedroom(s), ~+21 matches"
4045bf9f-f375-238a-3341-97bdbc0ac33f,40,0,,,1800,5,"extend budget to $1800, ~+5 matches"
42dc219e-0807-aae3-3a27-5d256929e060,48,1,1,43,,,"consider 1 bedroom(s), ~+43 matches"
4392ceda-a003-f133-f4f7-f415a3464d2d,48,0,1,49,,,"consider 1 bedroom(s), ~+49 matches"
4977e772-2321-f3e0-d9ce-d8ee6e6a7363,38,0,,,1800,7,"extend budget to $1800, ~+7 matches"
49ea5f5a-3cb7-0168-c4e1-d658fce13b92,44,0,2,5,,,"consider 2 bedroom(s), ~+5 matches"
4a01ea6f-28ea-62b1-3e30-969c77ad94e9,44,1,,,1800,8,"extend budget to $1800, ~+8 matches"
4a54afcb-277c-8d4a-6ce5-0d1eac7df323,50,1,,,2600,4,"extend budget to $2600, ~+4 matches"
4ae3679b-2252-23a7-3f4e-e99889339a43,47,1,,,2200,5,"extend budget to $2200, ~+5 matches"
4af6116d-4fc4-5b4b-b85f-dd318cc8569d,49,0,1,19,2200,5,"consider 1 bedroom(s), ~+19 matches & extend budget to $2200, ~+5 matches"
4dbe89b1-e0b5-b57b-6ff1-84dcd353db4a,49,0,1,55,,,"consider 1 bedroom(s), ~+55 matches"
512586b7-7379-fdf9-351a-2d1b53ee8e20,32,0,1,2,,,"consider 1 bedroom(s), ~+2 matches"
52699227-8f6c-3ede-8617-f71e0597e5bb,44,1,1,36,,,"consider 1 bedroom(s), ~+36 matches"
53ea430c-d299-aeb1-e401-0f688c943ccd,43,0,0,1,,,"consider 0 bedroom(s), ~+1 matches"
54564a31-493b-d8ab-e5aa-4124daa078fa,40,1,1,1,,,"consider 1 bedroom(s), ~+1 matches"
5461282e-174d-7985-6029-f142e29538ce,40,0,1,24,,,"consider 1 bedroom(s), ~+24 matches"
54b8125a-28e8-b262-5b05-264217e81ef1,49,0,,,1800,12,"extend budget to $1800, ~+12 matches"
54f23bb3-e9da-f336-6347-15ce9d2c0ea8,40,0,2,7,,,"consider 2 bedroom(s), ~+7 matches"
56e99773-9539-ab49-8269-c4f563e95047,35,0,3,3,,,"consider 3 bedroom(s), ~+3 matches"
5771e0f7-d912-7ef1-c2c6-83c5370b3f06,45,0,1,41,,,"consider 1 bedroom(s), ~+41 matches"
5878f431-f6f9-843d-5357-863f32d104a0,43,0,1,58,,,"consider 1 bedroom(s), ~+58 matches"
5a0f1609-e4e7-e3b9-6b54-950d4d7f32f0,33,1,,,1800,4,"extend budget to $1800, ~+4 matches"
5bf5643e-489a-e2e2-4f79-aed3a9f61cc2,45,0,2,8,,,"consider 2 bedroom(s), ~+8 matches"
5c752a8d-9bbb-23e9-fc8e-5401f36c8c5a,47,0,1,27,2200,2,"consider 1 bedroom(s), ~+27 matches & extend budget to $2200, ~+2 matches"
5d9ea0c4-6c81-8566-8c48-cade0609a513,38,1,1,38,,,"consider 1 bedroom(s), ~+38 matches"
5e3a08a8-15a7-254f-e9db-62de1825f865,37,0,2,7,,,"consider 2 bedroom(s), ~+7 matches"
5e99e70b-039b-cb9e-005a-27c9709cc2e1,43,0,3,7,,,"consider 3 bedroom(s), ~+7 matches"
5f1a590e-6c09-37e0-34dd-5fd7765a14be,38,1,0,1,,,"consider 0 bedroom(s), ~+1 matches"
6274f03a-b834-4217-5189-da7a85ff2b44,47,0,1,36,,,"consider 1 bedroom(s), ~+36 matches"
63317ab9-9f8b-4e69-1422-db75e994d6a2,50,0,2,5,,,"consider 2 bedroom(s), ~+5 matches"
67ce1192-0df7-e5c5-5bd7-6a69dbea9787,45,0,,,2600,6,"extend budget to $2600, ~+6 matches"
68717852-e269-36ec-365c-9953d5459101,48,1,,,2600,2,"extend budget to $2600, ~+2 matches"
689a5cdf-5c50-b442-3e55-99a3f6d6f477,44,0,1,36,,,"consider 1 bedroom(s), ~+36 matches"
6a2aad12-ad17-1784-0754-4bb1fdf52475,36,0,1,49,,,"consider 1 bedroom(s), ~+49 matches"
6aec1895-96d7-58ec-39aa-2a419d8094e7,34,0,1,43,,,"consider 1 bedroom(s), ~+43 matches"
6b1caaf8-5cba-9da4-7129-28b260db1137,45,0,2,13,,,"consider 2 bedroom(s), ~+13 matches"
6b5541b5-d755-25c9-f6d7-c3b6b52c6d12,47,0,1,43,,,"consider 1 bedroom(s), ~+43 matches"
6be18766-2272-3464-b8ce-12bad78e2a6f,38,0,3,6,,,"consider 3 bedroom(s), ~+6 matches"
