id,bedrooms,price,available_from,state,picture_url,soft_attributes
7.93e+17,1,1200,SEPTEMBER,NEW YORK CITY,https://a0.muscache.com/pictures/miso/Hosting-792113642677268401/original/e0f8d98f-b916-4544-9857-38f02cb4404b.jpeg,"Combining comfort and convenience, this property offers an ideal location in the heart of Manhattan, as well as great amenities for every type of traveler.Enjoy a relaxing meal at the nearby restaurants. This is the perfect spot for experiencing everything NYC has to offer, whether you are traveling for business or pleasure!The spaceYou will be staying in a smart studio with your own bathroom. There is no kitchen, but there is a kitchenette with a microwave and a small fridge.Our studios come with full, queen, or double beds. Photo shows compound - units are different.Other things to noteThe well-being of our guests is our top priority, and we're committed to providing a safe environment for members at all Outpost houses. To ensure this, we require each guest to complete a few steps prior to arrival. Your booking will not be complete until all steps below are completed:1. We will request your phone and email addr neighborhood"
9370538.0,1,1200,DECEMBER,NEW YORK CITY,https://a0.muscache.com/pictures/383c0822-46f4-46d9-863b-977304241697.jpg,"Comfortable 1 bedroom apt in the Lower East Side, a trendy and fashionable neighborhood with popular and diverse restaurants and plenty of nightlife and music venues. Easy access to subways (B, D, F, M, J and Z lines).The spaceWe offer an air mattress for extra people. neighborhood Whether it's Austrian at Katja, mexican at Barrio Chino, italian at Bacaro, vietnamese at An Choi, there are many amazing restaurant choices within just a few blocks. That's just the start. There are nearby museums - New Museum on Bowery and Tenement Museum a few blocks away on Orchard. Shopping in SoHo along Broadway is a 15 minute walk. Nearby music venues include Rockwood Music Hall, Arlene's Grocery, Bowery Ballroom and Pianos."
6107359.0,2,3000,OCTOBER,SAN FRANCISCO,https://a0.muscache.com/pictures/fcb87209-679d-4152-8ce7-0a67dae151d9.jpg,"Enjoy the natural light illuminating walls decorated with local art. Your private Mission District apartment is within walking distance of the best of high & low end dining & drinking in San Francisco. It is 750ft²/70m² with 1 king, 1 queen, and 1 twin bed, a modern full kitchen, & a beautiful tiled bathroom. We have a top notch HEPA filter, spray or wipe disinfectant on all knobs, switches, handles, pulls, remotes and fabric furniture, clean all surfaces with disinfectant, and wash laundry with hot water and bleach.This 750ft² (70m²) apartment of Victorian & Edwardian vintage was remodeled in 2015. It features beautiful wood floors, period fixtures, artwork, and plants throughout the house. I had originally intended to live in this space and tried to make it really special.***Work***Only a 12 minute Uber to downtown with many great bars and restaurants within easy walking distance.>High speed wireless via Sonic Gigabit Fiber<br neighborhood The apartment lies a few blocks from 24th St., home to the best Latino culture in the city. Murals, creatives, and coffee shops are on almost every corner. Many of the city's best bars and restaurants are within walking distance."
53415255.0,1,3000,JUNE,NEW YORK CITY,https://a0.muscache.com/pictures/prohost-api/Hosting-53415255/original/6cb08c2c-5a0b-475b-adb2-78ab3712a674.jpeg,"With views overlooking Broadway, Central Park, and the Hudson River, this historic Upper West Side property is a true home away from home in the City that Never Sleeps. Feel like a native New Yorker in this vibrant, bustling neighborhood where family-owned businesses mix seamlessly with iconic attractions such as Lincoln Center, Central Park, and the Metropolitan Museum of Art. Step back in time and experience authentic New York City culture and attractions at this Upper West Side gem!The spaceWith full kitchens and spacious accommodations not often found in Manhattan, this Upper West Side property allows guests to enjoy an authentic NYC experience. Shop at a local family-owned grocery store and make dinner in the comfort of your own apartment-style unit. Keep up with your workouts at the fitness center. Enjoy the convenience of on-site laundry facilities. And when it’s time to experience everything the city has to offer, step right outside the door, where your neighborhood American Museum of Natural History - 0.4 miles; Central Park - 0.5 miles; Lincoln Center - 0.6 miles; Rose Center for Earth and Space - 0.6 miles; Metropolitan Museum of Art - 1.3 miles; Museum of Modern Art - 1.6 miles; Times Square - 1.6 miles; Rockefeller Center - 1.8 miles; LaGuardia Airport - 8.1 miles"
46468461.0,1,2400,MAY,SAN FRANCISCO,https://a0.muscache.com/pictures/1a25e7fc-e6dd-4590-bdf2-40a62daf3ca0.jpg,"A charming apartment in the heart of San Francisco's Lone Mountain neighborhood. Centrally located with access to USF, Inner Richmond, and Jordan Park, this light-filled apartment offers a well-equipped kitchen with a dining area, a living room with access to the garden, a spacious bedroom with workspace & full bath. Enjoy views of San Francisco from your private patio. Sleeps up to 4 with a queen bed and queen sleeper sofa with new gel foam mattress. Laundry available for extended stays.The spaceApproximately 600 square feet: Enjoy your private patio with view of the city with beautiful sunsets.Guest accessPrivate apartment with full kitchen and bath; private patio; shared gardenLicense numberSTR-0004953 neighborhood Centrally located with easy access to USF, Inner Richmond, Jordan Park, Laurel Village and many others. Enjoy the farmer's market on Clement, stroll through Golden Gate Park, walk to the Golden Gate Bridge via the Presidio and explore the many cafes and restaurants in walking distance."
32332890.0,1,3000,JUNE,NEW YORK CITY,https://a0.muscache.com/pictures/296873d5-f1d3-4e05-98a3-a76dae6c0aca.jpg,"In the heart of Greenwich Village on Christopher Street! THE location for Pride Parade (June) and Halloween Parade celebration. Close to the Christopher Street Pier and great shopping on Bleecker Street. Easy access with Subway less than 300 yards away (1 train). Great southern exposure with 2 windows, loft like living.The spaceThere is a four flight walk up!Guest accessThe apartment is yours and we will leave you to it and the city! But if you need anything at all, we are right upstairs for any questions or needs.Other things to noteThere is a kitchenette but there is not a stove. There is a fridge, hot plate, electric tea kettle and coffee press as well as pots and pans plates and utensils. neighborhood The 1 train is located just yards from the apartment making easy access to uptown and downtown. The path train is also located on Christopher Street which connects you to NJ easily if you are coming from Newark airport."
53151823.0,1,2400,JUNE,NEW YORK CITY,https://a0.muscache.com/pictures/856f9534-6af1-4bb6-ac4a-e1d8b2748111.jpg,"Lovely Spacious 1 Bedroom studio apartment. Full walk in kitchen and bathroom. 3 huge closets with dresser. Pull out leather couch. Desk workspace. GREAT LOCATION. 10 min walk to F and Q Train. 20 min to NYC Manhattan!!!! 15 min walk to Prospect Park. 5 min walk to bars, restaurants, and activities. Safe area, quiet, and comfortable for all travelers!! neighborhood"
4477314.0,3,2000,OCTOBER,SAN FRANCISCO,https://a0.muscache.com/pictures/miso/Hosting-4477314/original/02947af9-1458-4f0b-a0c0-ff3ac27b2510.jpeg,"3 BrMassive over 2,000sqft in NOPA right by parkVery bright. 14' high ceilingsClassic VictorianPerfect for couples or families3 blocks from Divisadero corridor - Food lover heaven10min walk to Golden Gate Park5 min walk to Hight AshburyThe spaceOur home is perfect for families or friends. Especially good for families with bunk beds, mountains of toys and kids books. We added a tv with amazon prime streaming if you want a quiet night in.The rooms are enormous and the ceilings are very high. It is full of Victorian charm.Officially registered short-term residential rental with San Francisco CityPlease note that street parking nearby has changed so that you can only park for up to 2 hours without a permit. It is best not to have a car in SF and to use public transport or taxis. There is a zipcar on the corner of our block.Guest accessGuests have access to the whole flat: 3 bedroom neighborhood The neighbourhood is amazing: a few short steps to the park, a few blocks from the best grocery store, ice cream store and bakery in San Francisco, not to mention the myriad restaurants and cafes. A walk through the park takes you into Golden Gate Park and all the way down to the Ocean. It is possible to go all the way to the ocean crossing only a few roads. It is a runner's Mecca.Several world class restaurants within a four block walk including NOPA and Bar Crudo. Coffee, market, sandwich shop within 100 ft. Walking distance to thriving shopping/eating neighborhoods of Divisadero, Haight Ashbury, Lower Haight, the Castro and the up and coming North Panhandle. 10 min bus ride to de Young Museum, Academy of Sciences, the Conservatory of Flowers and the rest of Golden Gate Park. 15 mins to Ocean Beach, Cliff House, The Presidio and the rest of the City."
23322737.0,1,2400,SEPTEMBER,NEW YORK CITY,https://a0.muscache.com/pictures/69bbbec4-8eff-4072-94b4-adb91b603033.jpg,"I warmly welcome guests from all corners of the world to stay with me in my brand new gut-renovated apartment in Manhattan. Located uptown in the historical Washington Heights neighborhood, my sprawling three-bedroom, two-bathroom apartment is located twenty minutes away from Midtown and Times Square. When you enter my home you will soon feel the world of convenience at your fingertips. My place is perfect for couples, friends, solo adventurers, LGBTQ friendly, or business travelers.The spaceIt is important to see the most beautiful things that New York has to offer; including the Airbnb that you stay in. Located in a historical pre-war building, this elevator building is sound and secure with security cameras throughout as well as a weekend security doorman. My apartment is protected with an ADT alarm system as well as a front door camera.**This room allows up to 2 guests** Enter your spacious guest room with a neighborhood My apartment is nestled on one of the most famous streets in the world; Broadway! You can find almost everything literally blocks away. This section of Broadway is home to great coffee shops, bakeries, diners, juice bars and internet cafes. Two supermarkets are close by including a massive two-story supermarket with an escalator and elevator across the street! Indulge in some of the best Latin American, Italian, Thai and Chinese restaurants in the city. There are multiple gyms including a 24/7 fitness center across the street offering daily and weekly passes. Several laundromats that include pickup/dropoff service with drycleaning are only a couple yards away.Washington Heights is home to many historical museums, libraries and churches. Located one block away from the apartment; enjoy breathtaking views of the Hudson River as you stroll along Riverside Park in complete tranquility. Columbia University and New York Presbyterian Hospital are also blocks away."
41529631.0,5,800,NOVEMBER,NEW YORK CITY,https://a0.muscache.com/pictures/8c2f5fdb-322d-4051-b7e9-5d8a3b1c1d73.jpg,"This four story Brooklyn townhome is a collection of four dreamy floors, each creating it's own unique vibe and setting, with a sauna in the basement and a hot tub in the backyard. From exposed brick walls and wood beams, to an oversized glass garage door opening up to the large backyard, this space is an over the top yet charming take on a lofty Brooklyn home. neighborhood"
